Row ID,Defect/Test ID,Owner,Hypothesis,Command/Action,Expected result,Actual result,Evidence,Commit SHA,Deployed SHA,Status,Next action
R1-G0-013,TOPOLOGY,Orchestrator (verified live),"Staging is the newest environment","curl production /health + /health/ready","Staging ahead or equal","INVERTED: production opstrax.vercel.app + osptrax-fleet-management.onrender.com auto-deploy main and run b7f495b (2026-08-22); staging frozen at 979c142 (2026-08-13, autoDeploy false). Production /health/ready green under the STRICTER de00b75 contract proves stage83/84/85 objects exist in the production DB",Live probes + render.yaml + BuildInfo.cs,a6378c7,"979c142(stg)/b7f495b(prod)",FACT ESTABLISHED,"Re-scope defects against production; note readiness contract has NO entries for sla_risk/asset_id/event_number/audit columns, so production green does NOT clear DEF-017/018/019/020"
R1-G0-014,DEF-026,Orchestrator (reconciled),"Driver dashboard 500 root cause","Wave-A trace: EndpointMappings.cs:23101-23103 queries hos_records unguarded; before binding handler exits 403 at :23038 so the query is never reached","One falsifiable cause","CONFIRMED BY TWO INDEPENDENT AGENTS + orchestrator source check: hos_records created ONLY by skipped DriverSchemaService + undeployed stage84; deployed readiness contract predates hos_records enrolment so staging reported green while the table was missing. 403-to-500 transition explained exactly",Wave-A driver/customer + migration reports,a6378c7,979c142,ROOT CAUSE CONFIRMED,"Gate 1: apply stage84 to isolated env; code-harden :23101 to degrade like :21509 to_regclass guard; same for /api/driver/hos and coaching"
R1-G0-015,DEF-027,Orchestrator (reconciled),"users.customer_id does not equal jobs.customer_id for UAT-1035-J01 because NO product code path writes users.customer_id (only DemoTenantSeeder and tests do)","Wave-A trace of GetOwnJobsAsync CustomerPortalService.cs:104-117: only two predicates (company_id + customer_id); NO status/date/soft-delete/join filter exists","Ranked candidates with one decisive test","Query refutes status-vocabulary/date/visibility-flag/join theories. Decisive test = single read-only users-vs-jobs comparison query, blocked on DB access. BONUS fail-open found: query omits deleted_at so soft-deleted jobs are customer-visible",Wave-A driver/customer report,a6378c7,979c142,ROOT CAUSE RANKED — NEEDS 1 DB QUERY,"Gate 1 isolated env reproduces the binding path; Gate 2 adds customer_id to admin user create/update + AND deleted_at IS NULL"
R1-G0-016,DEF-015,Orchestrator (reconciled),"Encryption works; the READ PROJECTION is missing — ProjectDriverPii applied at only 2 of 7 read sites","Wave-A exposure sweep",Full exposure surface known,"CIPHERTEXT leaks: GET /api/drivers roster, /api/drivers/export CSV, /api/workforce/drivers (mislabeled licence_class), safety scorecards, driver_safety_scores report dataset. PLAINTEXT unmasked: /api/drivers/{id} detail to any drivers:view holder. Logs/audit clean. Test lock on WRONG behavior at WorkforceScheduleTenantIntegrityTests.cs:27 must be amended with the fix",Wave-A driver/customer report,a6378c7,979c142,EXPOSURE SURFACE MAPPED,"Display policy decision recorded in R1-G0-017; implement one projection helper at all 5 leak sites"
R1-G0-017,DEF-015,Orchestrator,"DECISION (product-overridable): authorized display policy for driver license numbers",Policy decision at orchestrator level,Policy defined before implementation,"POLICY: every list/roster/workforce/safety/analytics/export surface renders masked last-four (**** 1234 form) derived after decrypt; full plaintext ONLY via the DSAR data-subject path; no license material in logs, errors, or audit payloads; exports carry the masked form. Detail page also masked last-four (plaintext retrievable only through DSAR export)",Orchestrator decision pending user override,a6378c7,979c142,DECIDED,Implement in Gate 2 packet
R1-WB-001,DEF-022,Packet 4 (verified by orchestrator),"Hoisting conversion out of the mutate argument + visible formError makes a complete form always either submit or explain","Edit IotDevicesPage.tsx submit handlers (installation, removal, commissioning); wire attention ModalForm error prop","Form submits or shows role=alert error; zero silent paths","IMPLEMENTED: toUtcIso computed before mutate under try/catch at :1049/:1134; formError rendered through ModalForm error slot; odometer bare-return now visible error; contract script +25 assertions passes; lint 0 warnings; build+bundle budget pass","frontend contract script output; orchestrator grep verification",WORKTREE(a6378c7+edits),979c142,IMPLEMENTED — AWAITING WAVE C REVIEW + LIVE RETEST,Wave C UI review then Gate 7 R8
R1-WB-002,DEF-023,Packet 4 (verified by orchestrator),"Replacing window.confirm with an accessible in-app dialog makes revocation executable by humans and automation","New ConfirmDialog.tsx (dialog/aria-modal/focus trap/Escape/busy/error); replace 4 confirm sites; onSuccess closes dialog + refreshAll invalidation","No native confirm; archive completes via POST /revoke","IMPLEMENTED: 0 window.confirm calls remain in IotDevicesPage (1 comment reference only, verified); ConfirmDialog imported + rendered :1252; archiveMut.onSuccess awaits refreshAll covering device list+detail queries. Server transition-ledger row remains with Packet 5","orchestrator grep + contract script",WORKTREE(a6378c7+edits),979c142,IMPLEMENTED (FE HALF) — AWAITING P5 SERVER HALF + REVIEW,Wave C UI review then Gate 7 R9
R1-WB-003,SCOPE-NOTE,Packet 4,"Drawer gate :252-253 misalignment (canAssign vs canGovernInstallations)","Verification against current branch","Gate needs alignment","STALE FINDING: committed code already passes canAssign: canGovernInstallations into buildActionContracts (line 901) — Wave-A finding was against an earlier read; no change needed. 9 window.confirm sites in 7 OTHER pages deliberately left; ConfirmDialog exported for that later pass",Packet 4 report,WORKTREE,979c142,NO CHANGE NEEDED,Follow-up pass post-run
R1-WB-004,DEF-024,Packet 2 (verified by orchestrator),"Identity-boundary-first ladder + dedicated CustomerLayout removes internal shell exposure","sessionRouting reorder; CustomerLayout new; /customer-portal hoisted out of ProtectedShell; ProtectedShell bounce; fallback /login fail-closed","Customer lands /customer-portal in portal shell; internal deep links bounce","IMPLEMENTED+VERIFIED: ladder order confirmed (customer branch before dashboard, ownsDirectly semantics); App.tsx:224-225 portal route inside CustomerLayout outside ProtectedShell; bounce at :155; RBAC contract script passes; lint 0 warnings; build+budget pass","test-rbac-contract.mjs output; orchestrator sed/grep",WORKTREE,979c142,IMPLEMENTED — AWAITING WAVE C + LIVE R11,Wave C security review; Gate 7 R11
R1-WB-005,DEF-025,Packet 2 (verified by orchestrator),"direct exact-match guards without audit:view deny dispatcher the governance surface","App.tsx:393-394 direct + [users:view,roles:view,settings:view]","Dispatcher /user-management denied","IMPLEMENTED+VERIFIED: both routes carry direct prop and no audit:view; contract asserts dispatcher fails all three grants; alias edge reports:view->audit:view removed","contract output; App.tsx:393-394",WORKTREE,979c142,IMPLEMENTED — AWAITING WAVE C + LIVE R12,Gate 7 R12
R1-WB-006,DEF-006-FE,Packet 2 (verified by orchestrator),"Removing poisonous alias tokens breaks customer path to control-tower page","5 alias groups cleaned (3 prescribed + TELEMETRY_RULES_READ + TELEMETRY_RECOMMENDATIONS_READ, evidence-driven: prescribed 3 left witness true)","shipments:view no longer satisfies telemetry.devices.read","IMPLEMENTED+VERIFIED: witnesses dead; blast-radius measured — zero internal-role module loss by direct grant; portal/driver roles collapse by 7-8 modules; finance_billing_manager 38->9 and crm_sales_manager 16->5 were pure closure inflation (frontend-only legacy roles, no backend grants). Token list recorded for Packet 5 backend mirror","Packet 2 report blast-radius table",WORKTREE,979c142,IMPLEMENTED — BACKEND MIRROR PENDING (P5),Hand token list to Packet 5
R1-WB-007,DEF-003,Packet 3 (verified by orchestrator),"Installer fails closed without an approved allowlist; example template inadmissible","install.sh requires --allowlist or existing file else exit 2; example rewritten to <IMEI-15-DIGITS> placeholders verified inadmissible via real ImeiAllowlist.NormalizeOne; deploy compose bind-mount guarded with :?","Fresh install can never admit a known identifier","IMPLEMENTED+VERIFIED: no example-copy branch, exit-2 path names provisioning source; SPEC CORRECTION by agent: 000000000000000 placeholder was ADMISSIBLE under the real parser (8-20 digits) and faulted trackers self-report all-zero IMEIs — excluded, warning comment added instead. 8 new DeploymentHardeningContractTests pass",telematics-security-RETEST-R1.trx 47/47,WORKTREE,979c142,IMPLEMENTED — AWAITING WAVE C,Wave C security review
R1-WB-008,DEF-004a/b,Packet 3 (verified by orchestrator),"Secret never transits argv; manifests stop provisioning the startup-fatal legacy key","install.sh env/secret-file only; gateway Program.cs CreateApplicationBuilder() without args; render.yaml + root compose keys removed (incl. adjacent dead DeviceSecret line — justified deviation, mandated by contract test); ConfigValidationService UNTOUCHED (verified empty diff)","No argv secret path; blueprints boot-safe","IMPLEMENTED+VERIFIED: grep confirms zero Telemetry__GatewaySecret/DeviceSecret in both manifests; no --secret) case; CLI config source gone at Program.cs:48",orchestrator grep + git diff,WORKTREE,979c142,IMPLEMENTED — AWAITING WAVE C,Wave C security review
R1-WB-009,DEF-005,Packet 3 (verified by orchestrator),"AES-256-GCM sealed outbox with 0600/0700 modes closes the disk-confidentiality gap","Format v2: version||keyVersion||nonce(12)||tag(16)||ciphertext with AAD binding header+filename; enqueue age from filename ticks; wrong-key->corrupt-drop; ephemeral dev key; protected Https path REQUIRES StoreForwardEncryptionKey (real-executable boot-refusal test); install.sh generates+preserves key; breaking format change SAFE (edge undeployed, no on-disk data — decision recorded)","Persisted bytes reveal no plaintext coordinate/identifier","IMPLEMENTED+VERIFIED: PersistedBytes test asserts UTF-8+UTF-16LE+4dp-decimal absence + JSON-parse refusal + byte-identical round-trip; EntryFiles 0600; integration 169/169; OUTBOX_KEY_MANAGEMENT.md written",telematics-integration-RETEST-R1.trx,WORKTREE,979c142,IMPLEMENTED — AWAITING WAVE C,Wave C security+DB review
R1-WB-010,FOLLOW-UP,Packet 3,"Stale docs still instruct --secret usage","telematics/deploy/README.md:81 + cloud-init.yaml:104 reference removed --secret flag (out of packet scope)","Docs match installer","Docs now WRONG but fail-safe (following them exits 2 with pointer). Assigned to Gate 4 documentation packet. Also PostgresProductionDurabilityTests has 8 facts not 7 (count correction)",Packet 3 report,WORKTREE,979c142,OPEN — GATE 4,Include in docs packet
R1-G1-001,GATE-1,Packet 1 (verified by orchestrator),"Isolated-DB proof of the full migration chain + parser repair",See OPSTRAX_MIGRATION_VERIFICATION_REPORT.md,"All 5 proofs pass; lanes green","PASS: chain/idempotent/upgrade/A-B/defect-queries all PASS; non-DB 1588/1588; DB 401/401; RLS 9/9; 8 stage86 columns verified in DB + readiness by orchestrator; splitter delegation verified; old splitter deleted",artifacts/*-packet1.trx + db-provisioning.log,WORKTREE,979c142,GATE 1 PASS,Packet 5 launched; Wave C DB review next
R1-G1-002,DEF-002,Orchestrator,"The 8 DB-dependent telematics durability facts execute once OPSTRAX_TEST_DB exists","dotnet test --filter PostgresProductionDurabilityTests against 127.0.0.1:55437","8/8 pass","PASS 8/8 in 510ms — including StoreForward_SurvivesRestart_ReleasesFailureLease_AndEncryptsPayload which had NEVER previously executed (encryption-at-rest for the Postgres buffer now proven, complementing Packet 3's file-outbox proof)",artifacts/telematics-db-RETEST-R1.trx,WORKTREE,979c142,PASS — DEF-002 TELEMATICS HALF CLOSED,Gate 5 reruns full matrix
R1-WB-011,DEF-006/015/020/021/026/027/NEW-R1-02/DEF-023-server,Packet 5 (spot-verified by orchestrator),"All backend integration repairs in one EndpointMappings owner pass","8 sequential tasks incl. ~70-endpoint gating sweep, license masking at all read sites, driver degrade guards, customer binding + fail-closed resolution, role_id at provisioning, fail-closed blank role, DeviceRevoke tenant transaction + transition ledger, 3-copy alias mirror","All lanes >= baseline, zero failures","IMPLEMENTED: non-DB 1600/1600, DB 410/410, RLS 9/9, ratchet PASS, frontend gates green. Orchestrator verified: fail-open ?? Company Admin gone (0 hits), MaskDriverLicense applied at export/roster/detail, trx counts match. NULL-role-name audit = 0 rows on isolated DB (staging/prod audit REQUIRED before deploy). Deviations for Wave C: FoundationServices.cs edit, 4 reconciled tests, private->internal widening, Decommissioned transition vocabulary, sweep beyond enumerated list + 4 cross-tenant maintenance reads scoped",artifacts/*-packet5.trx,WORKTREE,979c142,IMPLEMENTED — WAVE C IN PROGRESS,Wave C adversarial review running
R1-WC-000,WAVE-C-ATTEMPT-1,Orchestrator,"Independent adversarial review finds real defects the authors missed","4-lens workflow + 3-refuter panels + completeness critic",Confirmed findings list,"ABORTED — all 5 reviewer agents failed with session usage limit; workflow returned an EMPTY result set. An empty result from failed agents is NOT a clean review and was NOT recorded as one",workflow wf_4fcf5242-531 failures block,WORKTREE,979c142,FAILED — NOT A PASS,Relaunched as 4 parallel agents (attempt 2)
R1-WC-001,WAVE-C-ATTEMPT-2,Orchestrator,"Same objective via direct parallel agents with self-refutation built into each reviewer prompt","4 independent lens reviewers (security/database/test/UI), each required to attempt refutation before reporting and to list items cleared as SOUND",Confirmed findings list,IN PROGRESS,4 agent reports pending,WORKTREE,979c142,RUNNING,Triage findings; fix before Gate 5
R1-ENV-001,ENVIRONMENT,Orchestrator,"The isolated verification database survived the session gap","docker start opstrax-retest-r1-pg; psql count checks","DB restored with state intact or must be re-provisioned","RESTORED WITHOUT REBUILD: Docker daemon had stopped between sessions; container had exited cleanly (exit 0). docker start restored it — opstrax_local 69 migrations / 335 tables, staging_upgrade replica 69 migrations, stage86 columns present. Worktree also intact (64 paths). No re-provisioning or re-migration needed",docker ps + psql verification,WORKTREE,979c142,PASS,Wave C DB-dependent checks unblocked; reviewers notified
R1-WC-002,C-UI-1,Wave C UI reviewer (verified by orchestrator),"The portal identity boundary keyed on permission shape captures internal staff roles","Execute compiled rbacConfig/sessionRouting against real backend role grant sets","Only true portal identities routed to /customer-portal","CONFIRMED REGRESSION: Customer Service (EndpointMappings.cs:2335) holds customer_portal:view WITHOUT dashboard:view -> imprisoned in chrome-less CustomerLayout, cannot reach /dispatch /customers /crm. CRM & Sales Manager (DB seed) same. Diff-introduced by Packet 2",Wave C UI report + orchestrator grep,WORKTREE,979c142,MUST FIX BEFORE GATE 5,Packet 6 fix
R1-WC-003,C-UI-2,Wave C UI reviewer (verified by orchestrator),"Nav catalogue was not updated in lockstep with the alias trim","grep moduleConfig audit-logs requiredPermission vs App.tsx route guard","Nav visibility matches route guard","CONFIRMED STALE NAV: moduleConfig.ts:143 requires reports.manage; App.tsx:371 route requires audit:view; Packet 2 removed the reports.manage->audit:view alias edge. Dispatcher/Fleet Manager/Safety Manager see the item and hit PermissionDenied",orchestrator grep,WORKTREE,979c142,MUST FIX BEFORE GATE 5,Packet 6 fix
R1-WC-004,C-UI-3,Wave C UI reviewer (verified by orchestrator),"Portal binding and portal routing use the same criterion","grep isPortalRole + RequireCustomerBindableRole vs role defaults","Routing and binding agree on what a portal identity is","CONFIRMED CONTRADICTION: routing keys on permission shape (customer_portal:view without dashboard:view) but binding keys on role NAME containing Portal. Role Customer (:2330) routes to portal shell yet cannot be bound -> unbindable dead account the admin UI cannot repair",orchestrator grep,WORKTREE,979c142,MUST FIX BEFORE GATE 5,Packet 6 fix — both frontend and backend
R1-WC-005,TOOLING,Wave C UI reviewer,"npm run lint provides quality signal on frontend/src","Inspect eslint flat config ignores","Lint covers src","eslint flat config IGNORES ALL OF frontend/src — the repeated 'lint clean' gate in packet reports gives ZERO signal on reviewed files. tsc --noEmit and the contract scripts do provide signal",Wave C UI report,WORKTREE,979c142,NOTED — GATE 5 MUST NOT CITE LINT AS FRONTEND EVIDENCE,Record accurately in automated test results
R1-WC-006,C-DB-1,Wave C DB reviewer (verified by orchestrator),"Moving DeviceRevoke to a tenant transaction is safe","Read stage76 privilege contract + DeviceRevoke scope + new test connection","Revoke works in protected environments","CONFIRMED HIGH REGRESSION: stage76:283-284 RAISES if opstrax_app has UPDATE on api_key_hash/hmac_secret_encrypted, so the grant is contract-forbidden. DeviceRevoke now runs RunInTenantTransactionAsync as opstrax_app and SETs 9 denied columns -> 42501 -> credential kill switch inoperable in staging/production. New test uses owner connection (DeviceRevokeLifecyclePostgresTests.cs:113) so it is BLIND to this",stage76 source + EndpointMappings scope + test file,WORKTREE,979c142,MUST FIX BEFORE GATE 5,"Revert credential UPDATE to system identity; KEEP ledger/audit/replay additions; retest via restricted-role harness"
R1-WC-007,C-DB-2,Wave C DB reviewer,"stage83_platform_settings hardening applies on a fresh database","Trace runner order vs opstrax_system creation in terminal stage58","RLS/policy hardening applied","CONFIRMED: on a fresh DB the file runs before opstrax_system exists; its IF EXISTS guard silently skips FORCE-RLS/policy hardening, and it is ledgered + not in repair list so reruns never fix it. Live DBs unaffected (upgrade replicas)",Wave C DB report,WORKTREE,979c142,MUST FIX (one line),Add to repair_migration list
R1-WC-008,C-DB-3,Wave C DB reviewer,"The seeder role_id fix eliminates NULL role_id rows","Compare seeded role_name values against roles catalog","No NULL role_id after stage87","CONFIRMED PARTIAL: DemoTenantSeeder.cs:349-353 seeds Maintenance Manager and Safety Auditor — names absent from the catalog — so role_id resolves NULL. 4 companies each hold exactly these 2 rows created AFTER stage87 applied",Wave C DB report,WORKTREE,979c142,MUST FIX,Use catalog role names
R1-WC-009,READINESS-SEV1,Wave C DB reviewer (flagged by orchestrator),"Readiness format_type strings might not match the live catalog, making /health/ready permanently red","Verify all 8 entries with format_type/attnotnull/pg_get_expr against live DB","Exact match required","CLEARED SOUND: all 8 entries verified byte-for-byte using the same functions the readiness check uses. No mismatch. The flagged Sev-1 deploy vector is NOT present",Wave C DB report + live catalog,WORKTREE,979c142,SOUND,None
R1-WC-010,C-SEC-1,Wave C security reviewer (verified by orchestrator),"stage87 only fills a missing key and cannot change effective permissions","sed EndpointMappings:2386 ResolveEffectivePermissionsAsync; read stage87 UPDATE; grep permissions_json in stage87","role_id backfill is permission-neutral","CONFIRMED PRIVILEGE ESCALATION BY MIGRATION: ResolveEffectivePermissionsAsync:2386 uses (roleId>0 ? rolePermissionsJson : userPermissionsJson) — setting role_id makes the user's OWN narrower permissions_json IGNORED. stage87 backfills unconditionally (WHERE role_id IS NULL AND EXISTS) and mentions permissions_json ZERO times. Any legacy user with trimmed per-user grants silently gains the full role set; worst case role_name='Company Admin' resolves to [*]. Permissions re-resolve per request so in-flight sessions widen IMMEDIATELY, with no audit row and no session revocation (contrast UpdateAdminUser which revokes+audits)",EndpointMappings:2386 + stage87 source,WORKTREE,979c142,MUST FIX BEFORE GATE 5,"Restrict backfill to NULL/empty/[] permissions_json rows; emit pre-flight delta report; revoke sessions for updated rows"
